strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,92,22384.40531469621,139600.0,83760.0,55736.0,41456.16,5000.0,713.0,698.0,15.0,0.0,0.030864197530864196,0.6,0.6,0.7118518518518518,82.0
A1_Backlog_cautious,93,23556.467105246786,148600.0,89160.0,59176.0,44492.560000000005,5000.0,859.0,743.0,116.0,0.0,0.16478190630048464,0.6,0.6,0.7255555555555555,120.0
A1_Backlog_cautious,94,21633.43662872669,138000.0,82800.0,55080.0,40924.8,5000.0,755.0,690.0,65.0,0.0,0.0996309963099631,0.6,0.6,0.7,116.0
A1_Backlog_cautious,95,21701.076449348846,135600.0,81360.0,54096.0,40127.76,5000.0,678.0,678.0,0.0,0.0,0.0,0.6,0.6,0.6922222222222223,84.0
A1_Backlog_cautious,96,24951.86869389699,130800.0,78480.0,53628.0,43438.679999999986,0.0,722.0,654.0,68.0,0.0,0.06198347107438017,0.6,0.6,0.7266666666666667,98.0
A1_Backlog_cautious,97,21327.168620285338,130000.0,78000.0,51800.0,38268.0,5000.0,650.0,650.0,0.0,0.0,0.0,0.6,0.6,0.6692592592592592,70.0
A1_Backlog_cautious,98,23576.65231123207,125400.0,75240.0,51414.0,41645.34,0.0,670.0,627.0,43.0,0.0,0.058823529411764705,0.6,0.6,0.6966666666666667,87.0
A1_Backlog_cautious,99,24985.02067080032,129600.0,77760.0,53136.0,43040.15999999999,0.0,648.0,648.0,0.0,0.0,0.0,0.6,0.6,0.7200000000000001,54.0
A1_Backlog_cautious,100,23377.593920455565,145200.0,87120.0,57782.0,43363.42,5000.0,726.0,726.0,0.0,0.0,0.0,0.6,0.6,0.711851851851852,84.0
A1_Backlog_cautious,101,23071.21934809978,140200.0,84120.0,55982.0,41655.41999999999,5000.0,701.0,701.0,0.0,0.0,0.0,0.6,0.6,0.7185185185185186,73.0
A1_Backlog_cautious,102,22448.23591980494,141400.0,84840.0,56474.0,42053.94,5000.0,769.0,707.0,62.0,0.0,0.09090909090909091,0.6,0.6,0.7188888888888889,103.0
A1_Backlog_cautious,103,24086.70306287901,152600.0,91560.0,60566.0,45868.46,5000.0,791.0,763.0,28.0,0.0,0.05128205128205128,0.6,0.6,0.7162962962962963,96.0
A1_Backlog_cautious,104,22142.029281433533,133800.0,80280.0,53358.0,39529.979999999996,5000.0,715.0,669.0,46.0,0.0,0.09349593495934959,0.6,0.6,0.6888888888888888,99.0
A1_Backlog_cautious,105,21423.872002198987,137200.0,82320.0,54752.0,40659.12,5000.0,758.0,686.0,72.0,0.0,0.13090909090909092,0.6,0.6,0.6962962962962963,95.0
A1_Backlog_cautious,106,22597.774885560313,139000.0,83400.0,55490.0,41256.9,5000.0,763.0,695.0,68.0,0.0,0.1285444234404537,0.6,0.6,0.711111111111111,104.0
A1_Backlog_cautious,107,21416.658995791695,120400.0,72240.0,47864.0,35079.840000000004,5000.0,602.0,602.0,0.0,0.0,0.0,0.6,0.6,0.6337037037037037,44.0
A1_Backlog_cautious,108,22836.709474131632,142800.0,85680.0,57048.0,42518.880000000005,5000.0,795.0,714.0,81.0,0.0,0.12880143112701253,0.6,0.6,0.7266666666666667,107.0
A1_Backlog_cautious,109,24684.03953430731,148600.0,89160.0,58926.0,44540.06,5000.0,743.0,743.0,0.0,0.0,0.0,0.6,0.6,0.7051851851851851,90.0
A1_Backlog_cautious,110,22431.84808794134,130200.0,78120.0,51882.0,38334.41999999999,5000.0,651.0,651.0,0.0,0.0,0.0,0.6,0.6,0.6774074074074075,49.0
A1_Backlog_cautious,111,24468.197010361164,128800.0,77280.0,52808.0,42774.47999999999,0.0,665.0,644.0,21.0,0.0,0.0,0.6,0.6,0.7155555555555556,81.0
A1_Backlog_cautious,112,22892.018406671294,141600.0,84960.0,56556.0,42120.35999999999,5000.0,735.0,708.0,27.0,0.0,0.05465587044534413,0.6,0.6,0.7225925925925926,87.0
A1_Backlog_cautious,113,24255.890850177868,128200.0,76920.0,52562.0,42575.21999999999,0.0,684.0,641.0,43.0,0.0,0.030303030303030304,0.6,0.6,0.7122222222222222,89.0
A1_Backlog_cautious,114,24756.19798144558,130000.0,78000.0,53300.0,43172.999999999985,0.0,702.0,650.0,52.0,0.0,0.04246284501061571,0.6,0.6,0.7222222222222221,92.0
A1_Backlog_cautious,115,23011.485700956953,143400.0,86040.0,57294.0,42718.14,5000.0,761.0,717.0,44.0,0.0,0.07677543186180422,0.6,0.6,0.73,96.0
A1_Backlog_cautious,116,23966.080962677523,145200.0,87120.0,57782.0,43363.42,5000.0,738.0,726.0,12.0,0.0,0.024539877300613498,0.6,0.6,0.7155555555555555,91.0
A1_Backlog_cautious,117,22102.50122402179,140200.0,84120.0,55982.0,41655.42,5000.0,739.0,701.0,38.0,0.0,0.06756756756756757,0.6,0.6,0.7122222222222222,97.0
A1_Backlog_cautious,118,23507.217022666227,125600.0,75360.0,51496.0,41711.759999999995,0.0,665.0,628.0,37.0,0.0,0.035164835164835165,0.6,0.6,0.6977777777777778,81.0
A1_Backlog_cautious,119,20867.34370489775,128800.0,77280.0,51308.0,37869.479999999996,5000.0,644.0,644.0,0.0,0.0,0.0,0.6,0.6,0.6614814814814814,62.0
