delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2035,upturn,101,2034,101,33,2025,48.0,False
2026,downturn,53,2025,53,34,2025,48.0,False
2027,upturn,59,2026,59,34,2025,48.0,False
2028,upturn,67,2027,67,34,2025,48.0,False
2029,downturn,65,2028,65,34,2025,48.0,False
2030,upturn,65,2029,65,34,2025,48.0,False
2031,upturn,72,2030,72,34,2025,48.0,False
2032,downturn,77,2031,77,34,2025,48.0,False
2033,upturn,93,2032,93,34,2025,48.0,False
2034,upturn,103,2033,103,34,2025,48.0,False
2035,downturn,85,2034,85,34,2025,48.0,False
2026,downturn,53,2025,53,35,2025,48.0,False
2027,upturn,66,2026,66,35,2025,48.0,False
2028,upturn,68,2027,68,35,2025,48.0,False
2029,downturn,60,2028,60,35,2025,48.0,False
2030,upturn,64,2029,64,35,2025,48.0,False
2031,upturn,85,2030,85,35,2025,48.0,False
2032,downturn,69,2031,69,35,2025,48.0,False
2033,upturn,85,2032,85,35,2025,48.0,False
2034,upturn,89,2033,89,35,2025,48.0,False
2035,downturn,75,2034,75,35,2025,48.0,False
2026,upturn,57,2025,57,36,2025,48.0,False
2027,upturn,61,2026,61,36,2025,48.0,False
2028,downturn,57,2027,57,36,2025,48.0,False
2029,upturn,59,2028,59,36,2025,48.0,False
2030,upturn,64,2029,64,36,2025,48.0,False
2031,downturn,87,2030,87,36,2025,48.0,False
2032,upturn,73,2031,73,36,2025,48.0,False
2033,upturn,72,2032,72,36,2025,48.0,False
2034,downturn,58,2033,58,36,2025,48.0,False
2035,upturn,77,2034,77,36,2025,48.0,False
2026,downturn,47,2025,47,37,2025,48.0,False
2027,upturn,54,2026,54,37,2025,48.0,False
2028,upturn,60,2027,60,37,2025,48.0,False
2029,downturn,59,2028,59,37,2025,48.0,False
2030,upturn,69,2029,69,37,2025,48.0,False
2031,upturn,93,2030,93,37,2025,48.0,False
2032,downturn,71,2031,71,37,2025,48.0,False
2033,upturn,86,2032,86,37,2025,48.0,False
2034,upturn,75,2033,75,37,2025,48.0,False
2035,downturn,70,2034,70,37,2025,48.0,False
2026,downturn,51,2025,51,38,2025,48.0,False
2027,upturn,51,2026,51,38,2025,48.0,False
2028,upturn,62,2027,62,38,2025,48.0,False
2029,downturn,57,2028,57,38,2025,48.0,False
2030,upturn,60,2029,60,38,2025,48.0,False
